"ID","Type","GFAP","SLC5A3","KCNE4","GOT1","CKMT1A","SST","YWHAH","RGS7","HSPB3","RAB3B"
"GSM119648",0,4.66434136857692,4.12321833411726,2.48413283823336,5.90479641028817,5.19996406034624,3.64798994155095,6.51145348643994,4.81994549604653,4.54519099273078,4.40644522533841
"GSM119649",0,5.85109412166808,4.43257101978128,3.29994986070846,5.98709821099992,5.51835297213877,4.46983417393515,6.7044846867261,5.38279461167116,4.50901802462362,3.37294610055916
"GSM119650",0,5.20641558051368,3.28799448353432,0.806929947677484,6.09314230759118,5.23127851036513,4.60094030161737,6.78286480686479,4.66267286888307,4.38232086615722,3.65138893163564
"GSM119651",0,4.88180759702591,4.49798914126388,1.52045335590789,5.1158677526561,5.40174715363927,3.14408600995455,5.87462168728452,4.83259913794136,4.81306696789028,3.09770836988057
"GSM119652",0,4.32721403800978,1.76846150680517,1.96183489193384,5.77689035972191,5.18905636291877,3.83731096533516,6.24851239209802,4.95250954347134,4.43920429539092,1.4607667742376
"GSM119653",0,5.00286849416457,3.93609823490072,1.42290302670455,5.32981513639322,5.00687337249271,5.50774603210383,5.5889004187728,4.65150903932711,3.87496890628251,1.64632735354576
"GSM119654",0,4.71986878466133,3.66540381481831,1.82561667761135,5.50496885347066,5.11447372052786,4.19284882384359,5.80927488429817,3.9670324822395,4.29599968794908,2.80570775472849
"GSM119655",0,5.31353528091678,3.83155658728311,3.47850005650406,5.48407262111508,4.8276563130764,4.04018375281612,5.72266124766592,4.75771268912,4.18716896239652,1.88661957671957
"GSM119656",0,5.16224282786027,3.37222760692868,3.13691779104352,5.55205257575141,4.97481485317444,5.05135054829479,5.81937949395244,4.45201117949297,3.97975066747022,2.26365532094436
"GSM119657",0,5.83430116173506,3.84122858589465,3.16514526075164,4.67902127097004,5.31453823410138,3.76823969049408,4.90620487240292,4.23554199657302,4.09713771390651,3.28630446141173
"GSM119658",0,5.54491345829442,3.48981998959217,3.01045386103708,5.08097823612198,4.90152576009958,3.9083895745072,4.80591106231338,3.9857724456945,4.20245944128259,2.25722282755457
"GSM119659",0,4.97921562231591,3.09990616893043,2.92914767045372,5.71301995261729,5.05374872846161,5.10461101871407,5.80644138965973,4.26487933865442,4.39740363860668,2.96789136731551
"GSM119660",0,4.89334779344552,2.9485841126323,2.81320381039486,5.52376812636852,4.92121101987799,3.78018181480942,6.0365526310582,4.53737695917785,4.36274860147341,2.79401418822263
"GSM119661",0,2.45586299941976,1.35169600193812,1.83113447204408,5.51729836841107,3.97755017854322,3.56745492404421,5.95610163773089,3.72063175021103,5.04690171628316,1.78951797135588
"GSM119662",0,4.93824505585793,3.69610357664876,2.5225479415656,5.60289791149609,4.80827178526976,3.53561018686509,5.89124565808771,4.54505702068607,4.16587224921444,3.89528427416936
"GSM119663",0,5.14029755065678,3.29081907511359,1.09494834244288,5.92004409291718,5.14036039776202,5.40359397866867,5.91042762544955,4.44683000834014,3.9721747138574,3.37767862957573
"GSM119664",0,4.74201706943934,4.58526844325711,1.48068649127171,5.05329457940269,5.26170446605709,1.8575576299891,4.91510262324388,4.39740013429259,4.45733672382249,1.44078290175624
"GSM119665",0,4.44259942777805,3.50306904621395,2.94315022662103,5.53288672428868,4.866687808001,4.26168135436509,5.78603654924336,4.70377067516525,4.30958056444181,1.13188577704852
"GSM119666",0,3.17905041787881,2.83004155528474,1.9786425047099,3.76344063959586,4.33281574206104,5.02455849973483,4.15111245294099,3.42616784519315,4.25809281471034,4.11462811476566
"GSM119667",0,4.22599894716473,3.20591840869036,2.40865354888053,5.76044653193596,5.16849034462306,4.37879937817235,6.02929275649073,4.38342729307158,4.28501117691164,3.39797030580183
"GSM119668",0,4.57590677786024,3.94861600310583,2.14797712589645,4.88570744090193,4.83109918264437,3.97979472034141,6.17458384349274,3.87265161396947,3.88825121943126,1.82729758193031
"GSM119669",0,5.47855891208161,1.69816640119756,2.49708539581282,5.37754397265323,5.57140406410972,4.14861335828627,5.34443159874048,4.01940106594408,4.25640795775106,3.74098634426914
"GSM119670",0,4.33618956590314,3.15651743460224,0.679533022026164,5.83160804514228,5.00602198913298,4.89980299714668,6.02664778346873,4.62573287942604,4.39650947576794,1.09740073064659
"GSM119671",0,4.72693745148474,4.39267267805133,1.97607590241575,6.27951727453882,5.86559715531777,4.98577571531783,6.49491000780971,4.98648779540591,4.90354625804042,3.415943526128
"GSM119672",0,5.41170841285335,3.97831153328359,3.91176607432798,6.38372252986418,5.71328603344953,5.47759108711786,6.99567426691669,5.75553144086504,4.99349175349553,3.60472603167213
"GSM119673",0,5.50704815274485,4.78371605722522,2.44994381722538,6.34907946909486,5.90514315074242,4.27407359795697,6.52946881765773,5.03042399807341,4.84196609772384,2.3500889930488
"GSM119674",0,5.61813972675262,4.45389580017471,3.87304770270225,6.22174377332914,5.56697119775633,5.74477047588359,6.83059866167477,5.23862591596677,4.90394494044551,4.91000168955182
"GSM119675",0,5.0482387645428,2.03989308113009,2.8453193562929,5.5523014179666,5.37682973872626,3.31846252721777,5.73027442590097,4.17830595725595,4.00346041814602,3.19508933348708
"GSM119676",0,2.25600779680283,5.14465664467442,2.38354795424911,3.44237655501058,2.40539293485097,3.07024837192105,4.56319456200129,5.1146653297977,2.83098293858386,3.07410659319286
"GSM119677",0,5.70400821386266,3.71797542496236,1.55981480165039,5.16941653840981,4.5792102776312,3.87751923335189,5.48512525275985,3.92946845327152,3.36487697869733,2.59444426654509
"GSM119678",0,5.34850810738046,3.62626337913213,2.67932404456988,4.68162257217068,4.90335268559159,3.52529140075491,5.25286107459316,4.0004705471439,2.94213046938594,3.31161399385958
"GSM119679",0,4.66604249780292,2.7983454619896,0.724209679618991,5.60859783193763,4.79601275036013,5.60036504540906,6.32106673666522,4.67042609581233,3.98687918780653,3.87470331722341
