ID,ASPN,ISLR,SCN2B,HTRA1,HMGN2,SERPINA3,HMOX2,FCN3,GGT5,LAD1,ITPK1,FLII,FAM89B,TRIM8,Type
S168,6.426608538,3.853576909,4.308511553,6.612126885,8.957049635,16.18202237,13.01863929,11.89486712,6.27807283,6.048801366,6.881845817,9.502424531,9.216451507,8.856996197,0
S169,6.22132033,4.752674616,4.234483923,8.486508501,6.88133763,16.58629137,8.209994174,9.324600862,5.509409926,4.94425375,6.13028625,9.212713893,7.325494134,9.450377806,0
S170,7.49797676,5.488638158,4.507685592,14.1355942,8.97014146,18.95002552,9.409387266,3.592233509,7.219799894,6.612419013,6.936779688,11.57401431,11.08726452,8.188633555,0
S171,8.766008544,7.633365935,6.083924846,17.16004156,10.47539196,-5.977059602,4.333178371,2.058394318,5.431916317,7.421378737,5.449405928,6.479449283,8.444004238,6.958395746,0
S172,6.2412707,6.037211091,4.968496082,5.996699776,6.828055099,21.68416443,14.64187151,8.999752761,7.372685607,6.479465922,6.724603658,10.14490268,9.644926796,9.140090365,0
S173,8.463141209,5.635598003,5.408313943,12.20464905,7.699551502,8.571770584,7.984931299,1.960936858,6.446899812,3.28043125,6.248559952,5.666132774,6.347677529,7.085139676,0
S174,5.88531173,5.827519587,3.518695005,0.470226293,7.446199746,30.31440006,15.63921113,15.81193225,7.244892974,6.336005599,6.201292955,9.570566642,14.20839261,9.272149198,0
S175,6.279929179,3.841963128,4.38492773,9.029733283,7.165168361,14.10526486,12.82471257,6.748202841,7.326407892,7.604403842,8.164944665,10.80364204,6.105420474,10.12116611,0
S176,5.466143165,3.337252646,3.986915784,5.443207717,9.048350564,21.41919898,13.82969022,9.638902653,7.103092353,5.820268845,7.083460075,7.985161274,7.39733231,7.639762857,0
S177,6.579406057,3.321909884,5.531737674,4.962743587,9.06174059,18.34081906,15.05958572,7.556495019,6.685571975,9.797309115,6.812887066,9.042192507,7.291138221,7.060120723,0
S178,6.109595304,4.390291521,4.88208633,10.22237212,9.741703027,22.52775812,14.77053612,12.38749723,6.865861166,6.87465294,7.640499904,8.125119474,7.958948143,7.563919315,0
S179,7.129672736,4.340439461,5.373043645,6.52286336,8.499487377,11.79565936,15.96222669,10.20491319,5.820115003,7.92057941,7.301916722,10.2572725,12.5087826,8.548701261,0
S180,8.121995281,4.003826213,4.752841086,11.40640062,6.747960182,12.71250715,8.132143971,6.422829845,6.180832113,8.323953563,7.540456366,8.835080977,7.208297209,7.90046947,0
S181,7.112005263,7.8389053,5.116585634,13.19903847,9.039844977,8.597185805,4.207371024,1.984838541,5.649864611,4.362612304,6.380280768,7.518685186,3.995285716,7.114763181,1
S182,7.526469577,12.69338876,4.491084212,20.53484928,10.86790344,17.21595163,-1.048980437,-1.397373783,6.864627348,3.919622165,5.606144702,6.521512584,5.759956637,8.172289935,1
S183,8.559828248,9.135117813,5.408313943,14.16820242,11.81167373,-3.535541898,4.489021787,6.56230392,5.826985333,6.613511096,6.505781312,8.969529094,4.531281012,6.403891206,1
S184,7.279884822,6.581528961,5.805684736,8.494544235,10.09565146,-9.933970784,0.836580143,1.277452903,5.538440441,6.140863956,5.058019468,8.070664365,4.778265185,6.48167317,1
S185,7.889291165,8.403915988,5.200752924,5.777309485,10.87823459,3.753526488,4.759633593,3.68561907,6.463110887,5.046027399,5.034678335,8.293882522,8.280191656,5.784227974,1
S186,8.360292659,7.63442875,5.6407188,13.09413103,10.49005354,2.604922715,1.112574399,3.762244002,6.09706934,5.074997292,5.674560875,5.721872706,5.351998363,6.290499657,1
S187,7.186394233,6.938918216,5.47699382,11.41071985,9.750135364,0.327362508,4.632496866,4.016256789,5.683038328,2.823329608,5.573494219,7.631299597,4.696565556,6.919469981,1
S188,8.489572874,8.762747449,5.636044539,17.42644568,9.433466256,4.431833135,4.537509868,3.496303142,6.319127693,5.09166771,5.099278806,9.146825215,8.476678973,6.349327943,1
S189,8.773396828,9.017051497,5.499297261,12.26907576,10.34369447,0.105478358,6.442082504,-0.290803464,5.855650331,2.183795657,4.556634499,7.440040941,3.168265208,7.327257063,1
S190,8.831051272,9.714175707,5.305436134,14.51715223,9.625390717,0.845775152,1.514886925,0.878228646,5.529541164,4.88899375,5.140817511,7.189743415,5.70661406,6.995561928,1
S191,8.26236768,8.05782842,5.384621482,13.40711024,9.238723733,-0.489248199,6.140475132,2.597241545,5.60621189,6.530974608,6.071849053,7.976641126,3.548842398,5.85537775,1
S192,9.126973185,9.022467017,5.502979905,19.4789382,9.005405582,-3.649014107,8.216131181,2.333653028,6.009802439,3.023836355,5.782027013,8.179489894,7.16073718,5.649308809,1
S193,7.752916696,8.907636984,5.531994492,13.48756577,9.966255155,-2.150871028,7.913458375,-1.593718849,5.592330729,3.042499068,4.931741798,6.794301994,4.819725989,5.75979089,1
S194,8.062474857,7.304467863,5.244732235,15.95264865,10.62523128,-0.960680887,12.3710031,4.155579375,5.85667101,2.771370758,6.749208991,7.025037663,3.666866741,6.411547418,1
S195,8.253398475,7.175841265,5.744226753,16.45935818,9.845652517,2.137847841,7.972920725,6.793290652,4.976834245,6.780393664,5.272494382,8.190850571,4.005756264,6.238112673,1
S196,6.864588184,7.662470914,4.760710493,8.61333969,8.295741558,19.93855003,12.08127214,11.28165181,6.507845829,4.995572868,6.527457515,8.791140263,10.16158525,5.148043922,1
S197,5.344094247,1.806403984,3.887753962,4.891684563,9.71894722,18.1991373,20.32388361,13.19448849,6.913857949,6.319291172,8.109190511,9.515474312,10.5245993,9.416345219,0
S198,8.378177598,6.215539594,5.117422532,11.11062254,8.733136568,2.087801762,7.825595613,5.242544813,6.014720847,2.73182167,6.368986645,8.179489894,3.197735499,6.384133203,1
S199,5.765980267,4.970867837,4.421625236,3.253449238,8.315216372,14.15317502,18.69701229,7.364586385,6.806680957,10.15290698,7.668846345,9.725849705,10.51771594,9.008922696,0
S200,5.983323914,2.33159986,5.038291705,5.404608649,9.71894722,16.64082874,17.84134475,12.08284201,6.58126918,9.416362603,7.888468699,9.521690363,11.15593788,8.692629063,0
S201,5.560416577,1.421202739,4.37920411,0.614825143,5.07264071,15.58865628,19.71035125,12.85919889,6.456265561,7.818959492,6.868991908,8.82340941,7.679065714,7.933269136,0
S202,4.743311475,2.365544174,3.628993432,0.44261009,6.198091929,13.68015257,19.27470588,14.88024902,6.097745988,5.736436875,7.179991392,6.516575793,9.736084159,8.175007427,0
S203,5.789752695,3.827627554,3.809636816,0.718388655,6.815448872,21.54610767,14.68954575,12.07979618,6.701180215,6.651679134,6.716853179,9.326065539,7.935925576,8.310139297,0
S204,7.383523749,3.776211804,3.877601336,0.846319212,5.194985181,25.07118974,18.7074311,16.50360395,6.562655289,8.191706955,7.070456543,10.487751,11.1321694,8.900458827,0
S205,7.757007296,8.105290185,6.068335769,11.98938846,10.30933184,-7.972519185,8.94839156,5.35816602,5.909814468,1.66966832,5.532595726,5.11613818,2.958407239,5.449681024,1
S206,7.788549876,6.466312077,5.621950522,7.590735556,9.009646209,-2.394542784,3.680572077,3.237505322,5.641470832,3.529992438,4.760911627,6.561130221,2.264075396,6.042512759,1
S207,7.30455608,10.97159504,3.404057741,24.58622504,11.85185275,16.86336763,-5.013852919,3.934532391,6.427971422,2.335905626,8.036156694,6.409754373,5.143360822,10.88571536,1
S208,7.56993307,5.74716834,5.360911842,14.60237173,10.8883049,-6.676558262,7.949310922,4.960763558,5.214436088,2.308317667,5.187024923,5.913200082,2.441695626,5.65297955,1
S209,7.94508549,6.750368805,5.519855519,11.52409693,9.704972854,-1.713451883,7.046167627,2.152171313,5.691803855,5.272711626,5.865763722,7.701671473,5.996381195,6.880482414,1
S210,7.800109716,5.059249927,3.944443631,8.494544235,5.569164468,11.8910873,12.51708578,10.10900095,6.020675861,6.65284338,7.497675301,9.319551275,10.27496335,7.670762981,0
S211,7.674270589,6.550347989,5.491119331,11.22497985,9.225296054,-4.481384432,7.48040931,4.904359428,5.500904749,1.632230382,5.739534614,7.653843029,6.325838585,6.831626819,1
S212,8.217103756,8.837233091,5.361723637,13.52423744,11.73087002,13.16290349,8.94839156,11.47924769,6.009080268,6.881846306,4.721262408,5.517546879,7.6001777,5.995763918,1
S213,7.188865711,9.087252025,5.656458073,12.35656811,10.03143991,4.81350214,7.322108428,4.310117679,6.139359299,5.542136419,6.312322739,10.68882035,8.950056144,6.958395746,1
S214,7.352909802,6.762933157,5.303177374,9.730387057,11.34975125,-1.297817295,4.849863652,3.451097787,5.073470244,2.443084313,5.033679279,6.699225278,3.286720976,6.48167317,1
S215,7.984244303,6.814336661,5.541136042,13.69362659,10.7032388,-13.85679272,4.002819759,4.626115658,4.934859672,0.11909242,5.66297146,6.734999267,5.104412506,8.375723151,1
S216,5.842367197,5.389507948,4.540446712,9.063441093,8.899696385,23.92133611,13.65511484,11.23141213,7.218947101,5.451179652,8.471574346,10.02622765,8.852634864,8.184267699,0
S217,8.01854544,7.303398654,6.071695737,12.65958277,9.247819903,5.506798202,5.638531728,1.582519993,5.904097403,1.305844983,5.380501838,5.148658501,2.970741805,7.123244198,1
S218,8.319030191,8.531562551,5.126876414,10.90075809,9.009646209,-1.203211495,4.411964425,4.248744172,5.700859409,3.372135916,5.629460668,8.179489894,5.257061929,8.432378724,1
